,Año,Semana,Ubigeo,Casos
597,2021,12,70106,0.0
598,2021,12,150142,0.0
599,2021,12,150143,0.0
600,2021,13,150102,0.0
601,2021,13,150103,1.0
602,2021,13,150104,0.0
603,2021,13,70102,0.0
604,2021,13,150105,0.0
605,2021,13,70101,0.0
606,2021,13,150106,14.0
607,2021,13,70103,0.0
608,2021,13,150107,1.0
609,2021,13,150108,0.0
610,2021,13,150109,0.0
611,2021,13,150110,1.0
612,2021,13,150111,0.0
613,2021,13,150112,3.0
614,2021,13,150113,0.0
615,2021,13,150114,1.0
616,2021,13,70104,0.0
617,2021,13,70105,0.0
618,2021,13,150115,0.0
619,2021,13,150101,9.0
620,2021,13,150116,1.0
621,2021,13,150117,0.0
622,2021,13,150118,40.0
623,2021,13,150119,0.0
624,2021,13,150120,0.0
625,2021,13,70107,3.0
626,2021,13,150122,0.0
627,2021,13,150123,0.0
628,2021,13,150124,0.0
629,2021,13,150121,0.0
630,2021,13,150125,25.0
631,2021,13,150126,0.0
632,2021,13,150127,0.0
633,2021,13,150128,0.0
634,2021,13,150129,0.0
635,2021,13,150130,0.0
636,2021,13,150131,0.0
637,2021,13,150132,4.0
638,2021,13,150133,0.0
639,2021,13,150134,1.0
640,2021,13,150135,1.0
641,2021,13,150136,0.0
642,2021,13,150137,0.0
643,2021,13,150138,0.0
644,2021,13,150139,0.0
645,2021,13,150140,1.0
646,2021,13,150141,0.0
647,2021,13,70106,0.0
648,2021,13,150142,0.0
649,2021,13,150143,7.0
650,2021,14,150102,0.0
651,2021,14,150103,5.0
652,2021,14,150104,0.0
653,2021,14,70102,0.0
654,2021,14,150105,0.0
655,2021,14,70101,0.0
656,2021,14,150106,8.0
657,2021,14,70103,0.0
658,2021,14,150107,1.0
659,2021,14,150108,0.0
660,2021,14,150109,1.0
661,2021,14,150110,0.0
662,2021,14,150111,0.0
663,2021,14,150112,4.0
664,2021,14,150113,0.0
665,2021,14,150114,0.0
666,2021,14,70104,0.0
667,2021,14,70105,0.0
668,2021,14,150115,0.0
669,2021,14,150101,5.0
670,2021,14,150116,0.0
671,2021,14,150117,1.0
672,2021,14,150118,46.0
673,2021,14,150119,0.0
674,2021,14,150120,0.0
675,2021,14,70107,1.0
676,2021,14,150122,0.0
677,2021,14,150123,0.0
678,2021,14,150124,0.0
679,2021,14,150121,0.0
680,2021,14,150125,40.0
681,2021,14,150126,0.0
682,2021,14,150127,0.0
683,2021,14,150128,0.0
684,2021,14,150129,0.0
685,2021,14,150130,0.0
686,2021,14,150131,0.0
687,2021,14,150132,8.0
688,2021,14,150133,0.0
689,2021,14,150134,0.0
690,2021,14,150135,0.0
691,2021,14,150136,0.0
692,2021,14,150137,0.0
693,2021,14,150138,0.0
694,2021,14,150139,0.0
695,2021,14,150140,1.0
696,2021,14,150141,0.0
697,2021,14,70106,0.0
698,2021,14,150142,0.0
699,2021,14,150143,8.0
700,2021,15,150102,0.0
701,2021,15,150103,12.0
702,2021,15,150104,0.0
703,2021,15,70102,0.0
704,2021,15,150105,0.0
705,2021,15,70101,0.0
706,2021,15,150106,6.0
707,2021,15,70103,0.0
708,2021,15,150107,2.0
709,2021,15,150108,0.0
710,2021,15,150109,0.0
711,2021,15,150110,0.0
712,2021,15,150111,0.0
713,2021,15,150112,6.0
714,2021,15,150113,0.0
715,2021,15,150114,0.0
716,2021,15,70104,0.0
717,2021,15,70105,0.0
718,2021,15,150115,0.0
719,2021,15,150101,2.0
720,2021,15,150116,0.0
721,2021,15,150117,0.0
722,2021,15,150118,71.0
723,2021,15,150119,0.0
724,2021,15,150120,0.0
725,2021,15,70107,1.0
726,2021,15,150122,0.0
727,2021,15,150123,0.0
728,2021,15,150124,0.0
729,2021,15,150121,0.0
730,2021,15,150125,30.0
731,2021,15,150126,0.0
732,2021,15,150127,0.0
733,2021,15,150128,0.0
734,2021,15,150129,0.0
735,2021,15,150130,0.0
736,2021,15,150131,0.0
737,2021,15,150132,7.0
738,2021,15,150133,0.0
739,2021,15,150134,0.0
740,2021,15,150135,0.0
741,2021,15,150136,0.0
742,2021,15,150137,0.0
743,2021,15,150138,0.0
744,2021,15,150139,0.0
745,2021,15,150140,0.0
746,2021,15,150141,0.0
747,2021,15,70106,0.0
748,2021,15,150142,0.0
749,2021,15,150143,15.0
750,2021,16,150102,0.0
751,2021,16,150103,10.0
752,2021,16,150104,0.0
753,2021,16,70102,0.0
754,2021,16,150105,0.0
755,2021,16,70101,0.0
756,2021,16,150106,7.0
757,2021,16,70103,0.0
758,2021,16,150107,6.0
759,2021,16,150108,0.0
760,2021,16,150109,0.0
761,2021,16,150110,0.0
762,2021,16,150111,0.0
763,2021,16,150112,0.0
764,2021,16,150113,0.0
765,2021,16,150114,1.0
766,2021,16,70104,0.0
767,2021,16,70105,0.0
768,2021,16,150115,0.0
769,2021,16,150101,1.0
770,2021,16,150116,0.0
771,2021,16,150117,0.0
772,2021,16,150118,86.0
773,2021,16,150119,0.0
774,2021,16,150120,0.0
775,2021,16,70107,0.0
776,2021,16,150122,0.0
777,2021,16,150123,0.0
778,2021,16,150124,0.0
779,2021,16,150121,0.0
780,2021,16,150125,13.0
781,2021,16,150126,0.0
782,2021,16,150127,0.0
783,2021,16,150128,0.0
784,2021,16,150129,0.0
785,2021,16,150130,0.0
786,2021,16,150131,0.0
787,2021,16,150132,5.0
788,2021,16,150133,2.0
789,2021,16,150134,0.0
790,2021,16,150135,0.0
791,2021,16,150136,0.0
792,2021,16,150137,0.0
793,2021,16,150138,0.0
794,2021,16,150139,0.0
795,2021,16,150140,0.0
796,2021,16,150141,0.0
797,2021,16,70106,0.0
798,2021,16,150142,0.0
799,2021,16,150143,11.0
800,2021,17,150102,0.0
801,2021,17,150103,12.0
802,2021,17,150104,0.0
803,2021,17,70102,0.0
804,2021,17,150105,0.0
805,2021,17,70101,0.0
806,2021,17,150106,4.0
807,2021,17,70103,0.0
808,2021,17,150107,4.0
809,2021,17,150108,0.0
810,2021,17,150109,1.0
811,2021,17,150110,1.0
812,2021,17,150111,0.0
813,2021,17,150112,1.0
814,2021,17,150113,0.0
815,2021,17,150114,0.0
816,2021,17,70104,0.0
817,2021,17,70105,0.0
818,2021,17,150115,1.0
819,2021,17,150101,1.0
820,2021,17,150116,0.0
821,2021,17,150117,0.0
822,2021,17,150118,45.0
823,2021,17,150119,0.0
824,2021,17,150120,0.0
825,2021,17,70107,0.0
826,2021,17,150122,0.0
827,2021,17,150123,0.0
828,2021,17,150124,0.0
829,2021,17,150121,0.0
830,2021,17,150125,8.0
831,2021,17,150126,0.0
832,2021,17,150127,0.0
833,2021,17,150128,1.0
834,2021,17,150129,0.0
835,2021,17,150130,0.0
836,2021,17,150131,0.0
837,2021,17,150132,5.0
838,2021,17,150133,0.0
839,2021,17,150134,0.0
840,2021,17,150135,0.0
841,2021,17,150136,0.0
842,2021,17,150137,0.0
843,2021,17,150138,0.0
844,2021,17,150139,0.0
845,2021,17,150140,1.0
846,2021,17,150141,0.0
847,2021,17,70106,0.0
848,2021,17,150142,0.0
849,2021,17,150143,5.0
850,2021,18,150102,0.0
851,2021,18,150103,7.0
852,2021,18,150104,0.0
853,2021,18,70102,0.0
854,2021,18,150105,0.0
855,2021,18,70101,0.0
856,2021,18,150106,2.0
857,2021,18,70103,0.0
858,2021,18,150107,3.0
859,2021,18,150108,0.0
860,2021,18,150109,1.0
861,2021,18,150110,0.0
862,2021,18,150111,0.0
863,2021,18,150112,1.0
864,2021,18,150113,0.0
865,2021,18,150114,0.0
866,2021,18,70104,0.0
867,2021,18,70105,0.0
868,2021,18,150115,0.0
869,2021,18,150101,0.0
870,2021,18,150116,0.0
871,2021,18,150117,0.0
872,2021,18,150118,49.0
873,2021,18,150119,1.0
874,2021,18,150120,0.0
875,2021,18,70107,0.0
876,2021,18,150122,0.0
877,2021,18,150123,0.0
878,2021,18,150124,0.0
879,2021,18,150121,0.0
880,2021,18,150125,4.0
881,2021,18,150126,0.0
882,2021,18,150127,0.0
883,2021,18,150128,0.0
884,2021,18,150129,0.0
885,2021,18,150130,0.0
886,2021,18,150131,0.0
887,2021,18,150132,6.0
888,2021,18,150133,0.0
889,2021,18,150134,0.0
890,2021,18,150135,0.0
891,2021,18,150136,0.0
892,2021,18,150137,0.0
893,2021,18,150138,0.0
894,2021,18,150139,0.0
895,2021,18,150140,0.0
896,2021,18,150141,0.0
897,2021,18,70106,0.0
898,2021,18,150142,0.0
899,2021,18,150143,0.0
900,2021,19,150102,0.0
901,2021,19,150103,7.0
902,2021,19,150104,0.0
903,2021,19,70102,0.0
904,2021,19,150105,0.0
905,2021,19,70101,0.0
906,2021,19,150106,2.0
907,2021,19,70103,0.0
908,2021,19,150107,6.0
909,2021,19,150108,0.0
910,2021,19,150109,2.0
911,2021,19,150110,1.0
912,2021,19,150111,0.0
913,2021,19,150112,1.0
914,2021,19,150113,0.0
915,2021,19,150114,2.0
916,2021,19,70104,0.0
917,2021,19,70105,0.0
918,2021,19,150115,0.0
919,2021,19,150101,0.0
920,2021,19,150116,0.0
921,2021,19,150117,0.0
922,2021,19,150118,39.0
923,2021,19,150119,1.0
924,2021,19,150120,0.0
925,2021,19,70107,0.0
926,2021,19,150122,0.0
927,2021,19,150123,0.0
928,2021,19,150124,0.0
929,2021,19,150121,0.0
930,2021,19,150125,1.0
931,2021,19,150126,0.0
932,2021,19,150127,0.0
933,2021,19,150128,0.0
934,2021,19,150129,0.0
935,2021,19,150130,0.0
936,2021,19,150131,0.0
937,2021,19,150132,1.0
938,2021,19,150133,0.0
939,2021,19,150134,0.0
940,2021,19,150135,0.0
941,2021,19,150136,0.0
942,2021,19,150137,0.0
943,2021,19,150138,0.0
944,2021,19,150139,0.0
945,2021,19,150140,0.0
946,2021,19,150141,0.0
947,2021,19,70106,0.0
948,2021,19,150142,0.0
949,2021,19,150143,0.0
950,2021,20,150102,0.0
951,2021,20,150103,6.0
952,2021,20,150104,0.0
953,2021,20,70102,0.0
954,2021,20,150105,0.0
955,2021,20,70101,0.0
956,2021,20,150106,0.0
957,2021,20,70103,0.0
958,2021,20,150107,13.0
959,2021,20,150108,0.0
960,2021,20,150109,3.0
961,2021,20,150110,0.0
962,2021,20,150111,0.0
963,2021,20,150112,0.0
964,2021,20,150113,0.0
965,2021,20,150114,3.0
966,2021,20,70104,0.0
967,2021,20,70105,0.0
968,2021,20,150115,0.0
969,2021,20,150101,0.0
970,2021,20,150116,0.0
971,2021,20,150117,0.0
972,2021,20,150118,26.0
973,2021,20,150119,0.0
974,2021,20,150120,0.0
975,2021,20,70107,0.0
976,2021,20,150122,0.0
977,2021,20,150123,0.0
978,2021,20,150124,0.0
979,2021,20,150121,0.0
980,2021,20,150125,0.0
981,2021,20,150126,0.0
982,2021,20,150127,0.0
983,2021,20,150128,0.0
984,2021,20,150129,0.0
985,2021,20,150130,0.0
986,2021,20,150131,0.0
987,2021,20,150132,2.0
988,2021,20,150133,0.0
989,2021,20,150134,0.0
990,2021,20,150135,0.0
991,2021,20,150136,0.0
992,2021,20,150137,0.0
