Año,Mes,Semana del mes,Semana,Ubigeo,P129G,P142A,P172C_1,P172C_2,P129B,P172B_1,P172B_2,P172D,P172G,P908_5,P908_6,P908_7,P908_8,P908_9,P910_1,P910_2,P910_3,P910_4
2021,2,1,5,70101,1.0,1.0,3.0,3.0,0.9848484848484849,0.9117647058823529,1.0,0.4411764705882353,0.1470588235294118,0.9090909090909091,0.04545454545454546,0.1818181818181818,0.8787878787878788,0.0303030303030303,0.196969696969697,0.07575757575757576,0.0,0.0
2021,2,1,5,150106,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.25,0.125,0.0,0.0,0.125
2021,2,1,5,70103,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.625,0.125,0.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150107,,,,,,,,,,,,,,,,,,
2021,2,1,5,150108,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.375,0.0,0.75,0.0,0.75,0.125,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150109,,,,,,,,,,,,,,,,,,
2021,2,1,5,150110,1.0,1.0,,3.0,1.0,0.0,1.0,0.3478260869565217,0.04347826086956522,0.8636363636363636,0.0,0.3636363636363636,0.5454545454545454,0.1818181818181818,0.1818181818181818,0.1363636363636364,0.0,0.1818181818181818
2021,2,1,5,150111,1.0,1.0,3.0,3.0,1.0,0.75,1.0,0.625,0.125,1.0,0.0,0.125,1.0,0.0,0.125,0.125,0.0,0.0
2021,2,1,5,150112,1.0,1.0,2.0,3.0,0.9090909090909091,0.4545454545454545,1.0,0.5454545454545454,0.09090909090909091,0.8,0.0,0.1,0.7,0.7,0.1,0.0,0.0,0.1
2021,2,1,5,150113,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.375,0.125,0.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150114,,,,,,,,,,,,,,,,,,
2021,2,1,5,70104,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,1.0,0.0,0.1428571428571428,1.0,0.0,0.1428571428571428,0.0,0.0,0.0
2021,2,1,5,70105,,,,,,,,,,,,,,,,,,
2021,2,1,5,150115,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.2,0.06666666666666667,1.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0
2021,2,1,5,150101,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.375,0.125,0.625,0.125,0.75,0.625,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150116,,,,,,,,,,,,,,,,,,
2021,2,1,5,150117,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.25,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150118,,,,,,,,,,,,,,,,,,
2021,2,1,5,150119,1.0,1.0,3.0,3.0,0.7777777777777778,1.0,1.0,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.0,0.7777777777777778,0.5555555555555556,0.0,0.0,0.1111111111111111,0.0,0.0
2021,2,1,5,150120,,,,,,,,,,,,,,,,,,
2021,2,1,5,70107,,,,,,,,,,,,,,,,,,
2021,2,1,5,150122,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150123,,,,,,,,,,,,,,,,,,
2021,2,1,5,150124,,,,,,,,,,,,,,,,,,
2021,2,1,5,150121,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.1428571428571428,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150125,1.0,1.0,2.0,3.0,1.0,0.7777777777777778,1.0,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150126,,,,,,,,,,,,,,,,,,
2021,2,1,5,150127,,,,,,,,,,,,,,,,,,
2021,2,1,5,150128,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.375,0.375,1.0,0.25,0.25,1.0,0.5,0.125,0.0,0.0,0.0
2021,2,1,5,150129,,,,,,,,,,,,,,,,,,
2021,2,1,5,150130,,,,,,,,,,,,,,,,,,
2021,2,1,5,150131,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.2,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150132,1.0,1.0,3.0,3.0,1.0,0.3928571428571428,1.0,0.4642857142857143,0.07142857142857142,0.7142857142857143,0.03571428571428571,0.4285714285714285,0.6785714285714286,0.5357142857142857,0.1428571428571428,0.2142857142857143,0.1071428571428571,0.4285714285714285
2021,2,1,5,150133,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.4444444444444444,0.2222222222222222,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150134,,,,,,,,,,,,,,,,,,
2021,2,1,5,150135,1.0,1.0,,3.0,1.0,0.0,1.0,0.4117647058823529,0.05882352941176471,1.0,0.05882352941176471,0.1176470588235294,0.7058823529411765,0.0,0.0,0.05882352941176471,0.0,0.0
2021,2,1,5,150136,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.1666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150137,,,,,,,,,,,,,,,,,,
2021,2,1,5,150138,,,,,,,,,,,,,,,,,,
2021,2,1,5,150139,,,,,,,,,,,,,,,,,,
2021,2,1,5,150140,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,2,1,5,150141,,,,,,,,,,,,,,,,,,
2021,2,1,5,70106,1.0,1.0,3.0,3.0,0.9649122807017544,0.8620689655172413,0.9482758620689655,0.603448275862069,0.1551724137931035,0.4137931034482759,0.06896551724137931,0.7068965517241379,0.3103448275862069,0.3620689655172414,0.1551724137931035,0.03448275862068965,0.01724137931034483,0.05172413793103448
2021,2,1,5,150142,1.0,1.0,,3.0,1.0,0.0,1.0,0.5,0.125,0.625,0.0,0.875,0.375,0.125,0.0,0.125,0.0,0.0
2021,2,1,5,150143,1.0,1.0,,2.0,1.0,0.0,1.0,0.5,0.125,0.2857142857142857,0.0,0.8571428571428571,0.0,0.4285714285714285,0.0,0.0,0.0,0.0
2021,2,2,6,150102,,,,,,,,,,,,,,,,,,
2021,2,2,6,150103,,,,,,,,,,,,,,,,,,
2021,2,2,6,150104,,,,,,,,,,,,,,,,,,
2021,2,2,6,70102,,,,,,,,,,,,,,,,,,
2021,2,2,6,150105,,,,,,,,,,,,,,,,,,
2021,2,2,6,70101,,,,,,,,,,,,,,,,,,
2021,2,2,6,150106,,,,,,,,,,,,,,,,,,
2021,2,2,6,70103,,,,,,,,,,,,,,,,,,
2021,2,2,6,150107,,,,,,,,,,,,,,,,,,
2021,2,2,6,150108,,,,,,,,,,,,,,,,,,
2021,2,2,6,150109,,,,,,,,,,,,,,,,,,
2021,2,2,6,150110,,,,,,,,,,,,,,,,,,
2021,2,2,6,150111,,,,,,,,,,,,,,,,,,
2021,2,2,6,150112,,,,,,,,,,,,,,,,,,
2021,2,2,6,150113,,,,,,,,,,,,,,,,,,
2021,2,2,6,150114,,,,,,,,,,,,,,,,,,
2021,2,2,6,70104,,,,,,,,,,,,,,,,,,
2021,2,2,6,70105,,,,,,,,,,,,,,,,,,
2021,2,2,6,150115,,,,,,,,,,,,,,,,,,
2021,2,2,6,150101,,,,,,,,,,,,,,,,,,
2021,2,2,6,150116,,,,,,,,,,,,,,,,,,
2021,2,2,6,150117,,,,,,,,,,,,,,,,,,
2021,2,2,6,150118,,,,,,,,,,,,,,,,,,
2021,2,2,6,150119,,,,,,,,,,,,,,,,,,
2021,2,2,6,150120,,,,,,,,,,,,,,,,,,
2021,2,2,6,70107,,,,,,,,,,,,,,,,,,
2021,2,2,6,150122,,,,,,,,,,,,,,,,,,
2021,2,2,6,150123,,,,,,,,,,,,,,,,,,
2021,2,2,6,150124,,,,,,,,,,,,,,,,,,
2021,2,2,6,150121,,,,,,,,,,,,,,,,,,
2021,2,2,6,150125,,,,,,,,,,,,,,,,,,
2021,2,2,6,150126,,,,,,,,,,,,,,,,,,
2021,2,2,6,150127,,,,,,,,,,,,,,,,,,
2021,2,2,6,150128,,,,,,,,,,,,,,,,,,
2021,2,2,6,150129,,,,,,,,,,,,,,,,,,
2021,2,2,6,150130,,,,,,,,,,,,,,,,,,
2021,2,2,6,150131,,,,,,,,,,,,,,,,,,
2021,2,2,6,150132,,,,,,,,,,,,,,,,,,
2021,2,2,6,150133,,,,,,,,,,,,,,,,,,
2021,2,2,6,150134,,,,,,,,,,,,,,,,,,
2021,2,2,6,150135,,,,,,,,,,,,,,,,,,
2021,2,2,6,150136,,,,,,,,,,,,,,,,,,
2021,2,2,6,150137,,,,,,,,,,,,,,,,,,
2021,2,2,6,150138,,,,,,,,,,,,,,,,,,
2021,2,2,6,150139,,,,,,,,,,,,,,,,,,
2021,2,2,6,150140,,,,,,,,,,,,,,,,,,
2021,2,2,6,150141,,,,,,,,,,,,,,,,,,
2021,2,2,6,70106,,,,,,,,,,,,,,,,,,
2021,2,2,6,150142,,,,,,,,,,,,,,,,,,
2021,2,2,6,150143,,,,,,,,,,,,,,,,,,
2021,2,3,7,150102,,,,,,,,,,,,,,,,,,
2021,2,3,7,150103,,,,,,,,,,,,,,,,,,
2021,2,3,7,150104,,,,,,,,,,,,,,,,,,
2021,2,3,7,70102,,,,,,,,,,,,,,,,,,
2021,2,3,7,150105,,,,,,,,,,,,,,,,,,
2021,2,3,7,70101,,,,,,,,,,,,,,,,,,
2021,2,3,7,150106,,,,,,,,,,,,,,,,,,
2021,2,3,7,70103,,,,,,,,,,,,,,,,,,
2021,2,3,7,150107,,,,,,,,,,,,,,,,,,
2021,2,3,7,150108,,,,,,,,,,,,,,,,,,
2021,2,3,7,150109,,,,,,,,,,,,,,,,,,
2021,2,3,7,150110,,,,,,,,,,,,,,,,,,
2021,2,3,7,150111,,,,,,,,,,,,,,,,,,
