Año,Provincia,Distrito,Mes,Casos
2023,LIMA,LURIGANCHO,Julio,168.0
2023,LIMA,LURIGANCHO,Junio,353.0
2023,LIMA,LURIGANCHO,Marzo,27.0
2023,LIMA,LURIGANCHO,Mayo,441.0
2023,LIMA,LURIGANCHO,Noviembre,5.0
2023,LIMA,LURIGANCHO,Octubre,7.0
2023,LIMA,LURIGANCHO,Setiembre,6.0
2023,LIMA,LURIN,Abril,2.0
2023,LIMA,LURIN,Agosto,1.0
2023,LIMA,LURIN,Julio,5.0
2023,LIMA,LURIN,Junio,25.0
2023,LIMA,LURIN,Marzo,2.0
2023,LIMA,LURIN,Mayo,40.0
2023,LIMA,LURIN,Setiembre,1.0
2023,LIMA,MAGDALENA DEL MAR,Abril,1.0
2023,LIMA,MIRAFLORES,Julio,2.0
2023,LIMA,MIRAFLORES,Junio,18.0
2023,LIMA,MIRAFLORES,Marzo,1.0
2023,LIMA,PACHACAMAC,Abril,7.0
2023,LIMA,PACHACAMAC,Diciembre,1.0
2023,LIMA,PACHACAMAC,Julio,6.0
2023,LIMA,PACHACAMAC,Junio,69.0
2023,LIMA,PACHACAMAC,Marzo,5.0
2023,LIMA,PACHACAMAC,Mayo,66.0
2023,LIMA,PACHACAMAC,Noviembre,4.0
2023,LIMA,PACHACAMAC,Octubre,4.0
2023,LIMA,PACHACAMAC,Setiembre,2.0
2023,LIMA,PUCUSANA,Abril,1.0
2023,LIMA,PUCUSANA,Agosto,1.0
2023,LIMA,PUCUSANA,Diciembre,1.0
2023,LIMA,PUCUSANA,Junio,7.0
2023,LIMA,PUCUSANA,Mayo,1.0
2023,LIMA,PUEBLO LIBRE,Agosto,4.0
2023,LIMA,PUEBLO LIBRE,Julio,11.0
2023,LIMA,PUEBLO LIBRE,Junio,20.0
2023,LIMA,PUEBLO LIBRE,Mayo,21.0
2023,LIMA,PUEBLO LIBRE,Octubre,1.0
2023,LIMA,PUEBLO LIBRE,Setiembre,2.0
2023,LIMA,PUENTE PIEDRA,Abril,74.0
2023,LIMA,PUENTE PIEDRA,Agosto,120.0
2023,LIMA,PUENTE PIEDRA,Diciembre,20.0
2023,LIMA,PUENTE PIEDRA,Julio,342.0
2023,LIMA,PUENTE PIEDRA,Junio,454.0
2023,LIMA,PUENTE PIEDRA,Marzo,7.0
2023,LIMA,PUENTE PIEDRA,Mayo,447.0
2023,LIMA,PUENTE PIEDRA,Noviembre,6.0
2023,LIMA,PUENTE PIEDRA,Octubre,21.0
2023,LIMA,PUENTE PIEDRA,Setiembre,55.0
2023,LIMA,RIMAC,Abril,11.0
2023,LIMA,RIMAC,Agosto,29.0
2023,LIMA,RIMAC,Julio,93.0
2023,LIMA,RIMAC,Junio,263.0
2023,LIMA,RIMAC,Marzo,1.0
2023,LIMA,RIMAC,Mayo,248.0
2023,LIMA,RIMAC,Noviembre,1.0
2023,LIMA,RIMAC,Octubre,7.0
2023,LIMA,RIMAC,Setiembre,9.0
2023,LIMA,SAN BARTOLO,Julio,4.0
2023,LIMA,SAN BARTOLO,Junio,7.0
2023,LIMA,SAN BORJA,Abril,4.0
2023,LIMA,SAN BORJA,Agosto,1.0
2023,LIMA,SAN BORJA,Julio,10.0
2023,LIMA,SAN BORJA,Junio,16.0
2023,LIMA,SAN BORJA,Marzo,2.0
2023,LIMA,SAN BORJA,Mayo,10.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Abril,434.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Agosto,51.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Diciembre,4.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Enero,2.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Julio,204.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Junio,585.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Marzo,39.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Mayo,1347.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Octubre,8.0
2023,LIMA,SAN JUAN DE LURIGANCHO,Setiembre,7.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Abril,385.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Agosto,9.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Diciembre,9.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Enero,1.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Febrero,1.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Julio,62.0
2023,LIMA,SAN JUAN DE MIRAFLORES,Junio,508.0
