Año,Semana,Ubigeo,HV201,HV205,HV213,HV214,HV215,SH49,SH227,HV270,HV225,HV237,SH48,SH50
2023,1,150143,1,1,5,2,2,3,1,2,0.106951871657754,0.9841269841269841,0.9835164835164835,0.967032967032967
2024,1,150102,1,1,5,1,2,3,1,1,0.0,1.0,1.0,1.0
2024,1,150103,1,1,5,2,1,3,1,3,0.1184210526315789,0.9802631578947368,0.9701492537313433,0.9626865671641791
2024,1,150104,1,1,4,2,1,3,0,4,0.0,1.0,1.0,1.0
2024,1,70102,1,1,4,2,1,3,1,4,0.04166666666666666,0.9444444444444444,0.9393939393939394,0.9242424242424242
2024,1,150105,1,1,5,2,1,3,1,4,0.06666666666666667,0.9777777777777777,0.9,0.875
2024,1,70101,1,1,5,2,1,3,1,3,0.1169102296450939,0.9688149688149689,0.9774266365688488,0.9616252821670429
2024,1,150106,1,1,5,2,1,3,1,2,0.04310344827586207,0.9914529914529915,0.9732142857142857,0.9553571428571429
2024,1,70103,1,1,5,2,1,3,0,4,0.1875,1.0,1.0,1.0
2024,1,150107,1,1,5,2,1,3,1,3,0.09715590600142514,0.9843289620244778,0.9781583505140036,0.9722472842209687
2024,1,150108,1,1,5,2,1,3,1,3,0.0673076923076923,0.9807692307692307,0.9782608695652174,0.967391304347826
2024,1,150109,1,1,5,2,1,3,3,2,0.25,1.0,1.0,1.0
2024,1,150110,1,1,5,2,1,3,1,4,0.07692307692307693,0.9904306220095693,0.985,0.98
2024,1,150111,1,1,5,2,1,3,1,4,0.1041666666666667,0.9791666666666666,1.0,0.9545454545454546
2024,1,150112,1,1,5,2,1,3,1,4,0.1071428571428571,0.9761904761904762,0.9746835443037974,0.9493670886075949
2024,1,150113,1,1,4,2,1,3,0,4,0.0,1.0,0.6,0.6
2024,1,150114,1,1,4,2,1,3,5,4,0.0,1.0,0.8,0.8
2024,1,70104,1,1,4,2,1,3,1,4,0.03409090909090909,1.0,0.9861111111111112,0.9722222222222222
2024,1,70105,1,1,5,2,1,3,1,4,0.0760242832774903,0.9760280057601787,0.9697594720485431,0.9659289457236342
2024,1,150115,1,1,2,2,1,3,5,2,0.3333333333333333,1.0,1.0,1.0
2024,1,150101,1,1,5,2,1,3,1,3,0.139344262295082,0.9754098360655737,0.9732142857142857,0.9553571428571429
2024,1,150116,1,1,5,2,1,3,1,4,0.0,1.0,1.0,1.0
2024,1,150117,1,1,4,2,1,3,1,4,0.04827586206896552,0.9862068965517241,0.9191176470588235,0.9044117647058824
2024,1,150118,1,1,5,2,1,3,0,3,0.09230769230769231,1.0,0.9807692307692307,0.9807692307692307
2024,1,150119,1,2,5,2,1,3,2,2,0.05405405405405406,1.0,0.9722222222222222,0.9444444444444444
2024,1,150120,1,1,4,2,1,3,1,4,0.0,1.0,0.8695652173913043,0.8260869565217391
2024,1,70107,1,1,5,2,1,3,1,3,0.07692307692307693,0.9743589743589743,0.9743589743589743,0.9743589743589743
2024,1,150122,1,1,2,2,1,3,0,4,0.0,1.0,0.8571428571428571,0.8571428571428571
2024,1,150123,1,1,5,2,1,3,1,1,0.131578947368421,1.0,1.0,1.0
2024,1,150124,1,1,5,2,1,3,1,3,0.09698261676890264,0.9887972732102567,0.9762256949409029,0.9734945219647131
2024,1,150121,1,1,4,2,1,3,1,4,0.15,1.0,0.9411764705882353,0.8823529411764706
2024,1,150125,1,1,5,2,1,3,1,1,0.1268656716417911,1.0,1.0,1.0
2024,1,150126,1,1,5,2,1,3,1,3,0.09532710603838619,0.9915410814244744,0.9795808490207996,0.9765549613501393
2024,1,150127,1,3,5,2,1,3,1,3,0.1,1.0,1.0,1.0
2024,1,150128,1,1,4,2,1,3,1,4,0.02564102564102564,0.9871794871794872,0.9565217391304348,0.9420289855072463
2024,1,150129,1,1,5,2,1,3,1,3,0.09445579749086508,0.9890462552767909,0.9790644045130145,0.9731907469070031
2024,1,150130,1,1,2,2,1,3,0,4,0.0,1.0,0.6363636363636364,0.6363636363636364
2024,1,150131,4,1,2,2,1,3,5,4,0.0,1.0,0.8858580225478622,0.8383152637488838
2024,1,150132,1,1,5,2,1,3,1,3,0.09147609147609148,0.98559670781893,0.982646420824295,0.9718004338394793
2024,1,150133,1,1,5,2,1,3,1,3,0.1022727272727273,0.9887640449438202,0.9753086419753086,0.9753086419753086
2024,1,150134,1,1,4,2,1,3,1,4,0.03225806451612903,0.967741935483871,0.9615384615384616,0.8461538461538461
2024,1,150135,1,1,5,2,1,3,1,3,0.0593607305936073,0.9908675799086758,0.9693877551020408,0.9591836734693877
2024,1,150136,1,1,2,2,1,3,0,4,0.07142857142857142,1.0,0.9,0.8
2024,1,150137,1,1,5,2,1,3,1,3,0.1710526315789474,1.0,0.9857142857142858,0.9857142857142858
2024,1,150138,1,1,5,2,1,3,1,4,0.08188330496840955,0.990402130138288,0.9722491200819862,0.9561142728167602
2024,1,150139,3,2,5,1,2,3,3,1,0.06896551724137931,0.9655172413793104,0.9642857142857143,0.9642857142857143
2024,1,150140,1,1,4,2,1,3,1,4,0.0,0.98,0.8857142857142857,0.8571428571428571
2024,1,150141,1,1,4,2,1,3,1,4,0.1764705882352941,1.0,1.0,0.96
2024,1,70106,1,1,5,2,2,3,1,2,0.08023483365949119,0.9766990291262136,0.9857723577235772,0.9715447154471545
2024,1,150142,1,1,5,2,1,3,1,3,0.139344262295082,0.9918032786885246,0.9915254237288136,0.9915254237288136
2024,1,150143,1,1,5,2,1,3,1,4,0.05521472392638037,0.9818181818181818,0.9746835443037974,0.9746835443037974
